"case_id","clients","dimension","ring_dim","block_count","noise","seed","repetition","status","encoded_plaintext_diff_linf","encoded_plaintext_mismatch_count","decoded_or_wire_mismatches","protocol_abort_count","total_ms","total_bytes","peak_rss_kb","wrapper_elapsed_seconds","result_file"
"c10_d32768_b1_dgg32_s2025_r001","10","32768","16384","1","dgg32","2025","1","PASS","0","0","0","0","360.12","23072192","63156","0.488875","results/formal_v8/multiblock_scaling_paper/c10_d32768_b1_dgg32_s2025_r001.json"
"c10_d32768_b1_dgg32_s2025_r002","10","32768","16384","1","dgg32","2025","2","PASS","0","0","0","0","351.854","23072192","63152","0.489746","results/formal_v8/multiblock_scaling_paper/c10_d32768_b1_dgg32_s2025_r002.json"
"c10_d32768_b1_dgg32_s2025_r003","10","32768","16384","1","dgg32","2025","3","PASS","0","0","0","0","316.097","23072192","63024","0.438181","results/formal_v8/multiblock_scaling_paper/c10_d32768_b1_dgg32_s2025_r003.json"
"c10_d32768_b1_dgg32_s2025_r004","10","32768","16384","1","dgg32","2025","4","PASS","0","0","0","0","333.74","23072192","63044","0.461929","results/formal_v8/multiblock_scaling_paper/c10_d32768_b1_dgg32_s2025_r004.json"
"c10_d32768_b1_dgg32_s2025_r005","10","32768","16384","1","dgg32","2025","5","PASS","0","0","0","0","297.406","23072192","63160","0.425357","results/formal_v8/multiblock_scaling_paper/c10_d32768_b1_dgg32_s2025_r005.json"
"c10_d32768_b1_dgg32_s2026_r001","10","32768","16384","1","dgg32","2026","1","PASS","0","0","0","0","306.729","23072192","63160","0.420466","results/formal_v8/multiblock_scaling_paper/c10_d32768_b1_dgg32_s2026_r001.json"
"c10_d32768_b1_dgg32_s2026_r002","10","32768","16384","1","dgg32","2026","2","PASS","0","0","0","0","301.526","23072192","63160","0.414306","results/formal_v8/multiblock_scaling_paper/c10_d32768_b1_dgg32_s2026_r002.json"
"c10_d32768_b1_dgg32_s2026_r003","10","32768","16384","1","dgg32","2026","3","PASS","0","0","0","0","311.581","23072192","63160","0.434002","results/formal_v8/multiblock_scaling_paper/c10_d32768_b1_dgg32_s2026_r003.json"
"c10_d32768_b1_dgg32_s2026_r004","10","32768","16384","1","dgg32","2026","4","PASS","0","0","0","0","323.025","23072192","63160","0.450512","results/formal_v8/multiblock_scaling_paper/c10_d32768_b1_dgg32_s2026_r004.json"
"c10_d32768_b1_dgg32_s2026_r005","10","32768","16384","1","dgg32","2026","5","PASS","0","0","0","0","314.513","23072192","62968","0.44785","results/formal_v8/multiblock_scaling_paper/c10_d32768_b1_dgg32_s2026_r005.json"
"c30_d32768_b1_dgg32_s2024_r001","30","32768","16384","1","dgg32","2024","1","PASS","0","0","0","0","1066.53","65021632","168312","1.204999","results/formal_v8/multiblock_scaling_paper/c30_d32768_b1_dgg32_s2024_r001.json"
"c30_d32768_b1_dgg32_s2024_r002","30","32768","16384","1","dgg32","2024","2","PASS","0","0","0","0","954.259","65021632","168368","1.092211","results/formal_v8/multiblock_scaling_paper/c30_d32768_b1_dgg32_s2024_r002.json"
"c30_d32768_b1_dgg32_s2024_r003","30","32768","16384","1","dgg32","2024","3","PASS","0","0","0","0","901.933","65021632","168312","1.056179","results/formal_v8/multiblock_scaling_paper/c30_d32768_b1_dgg32_s2024_r003.json"
"c30_d32768_b1_dgg32_s2024_r004","30","32768","16384","1","dgg32","2024","4","PASS","0","0","0","0","910.937","65021632","168372","1.046996","results/formal_v8/multiblock_scaling_paper/c30_d32768_b1_dgg32_s2024_r004.json"
"c30_d32768_b1_dgg32_s2024_r005","30","32768","16384","1","dgg32","2024","5","PASS","0","0","0","0","902.421","65021632","168236","1.025981","results/formal_v8/multiblock_scaling_paper/c30_d32768_b1_dgg32_s2024_r005.json"
"c30_d32768_b1_dgg32_s2025_r001","30","32768","16384","1","dgg32","2025","1","PASS","0","0","0","0","960.862","65021632","168240","1.093227","results/formal_v8/multiblock_scaling_paper/c30_d32768_b1_dgg32_s2025_r001.json"
"c30_d32768_b1_dgg32_s2025_r002","30","32768","16384","1","dgg32","2025","2","PASS","0","0","0","0","895.756","65021632","168308","1.026516","results/formal_v8/multiblock_scaling_paper/c30_d32768_b1_dgg32_s2025_r002.json"
"c30_d32768_b1_dgg32_s2025_r003","30","32768","16384","1","dgg32","2025","3","PASS","0","0","0","0","927.043","65021632","168372","1.049466","results/formal_v8/multiblock_scaling_paper/c30_d32768_b1_dgg32_s2025_r003.json"
"c30_d32768_b1_dgg32_s2025_r004","30","32768","16384","1","dgg32","2025","4","PASS","0","0","0","0","907.328","65021632","168372","1.037702","results/formal_v8/multiblock_scaling_paper/c30_d32768_b1_dgg32_s2025_r004.json"
"c30_d32768_b1_dgg32_s2025_r005","30","32768","16384","1","dgg32","2025","5","PASS","0","0","0","0","869.145","65021632","168372","0.995269","results/formal_v8/multiblock_scaling_paper/c30_d32768_b1_dgg32_s2025_r005.json"
"c30_d32768_b1_dgg32_s2026_r001","30","32768","16384","1","dgg32","2026","1","PASS","0","0","0","0","927.911","65021632","168372","1.055512","results/formal_v8/multiblock_scaling_paper/c30_d32768_b1_dgg32_s2026_r001.json"
"c30_d32768_b1_dgg32_s2026_r002","30","32768","16384","1","dgg32","2026","2","PASS","0","0","0","0","869.815","65021632","168372","1.007584","results/formal_v8/multiblock_scaling_paper/c30_d32768_b1_dgg32_s2026_r002.json"
"c30_d32768_b1_dgg32_s2026_r003","30","32768","16384","1","dgg32","2026","3","PASS","0","0","0","0","872.947","65021632","168372","1.019581","results/formal_v8/multiblock_scaling_paper/c30_d32768_b1_dgg32_s2026_r003.json"
"c30_d32768_b1_dgg32_s2026_r004","30","32768","16384","1","dgg32","2026","4","PASS","0","0","0","0","934.003","65021632","168372","1.069326","results/formal_v8/multiblock_scaling_paper/c30_d32768_b1_dgg32_s2026_r004.json"
"c30_d32768_b1_dgg32_s2026_r005","30","32768","16384","1","dgg32","2026","5","PASS","0","0","0","0","924.929","65021632","168372","1.053902","results/formal_v8/multiblock_scaling_paper/c30_d32768_b1_dgg32_s2026_r005.json"
"c50_d32768_b1_dgg32_s2024_r001","50","32768","16384","1","dgg32","2024","1","PASS","0","0","0","0","1547.17","106971072","273788","1.683667","results/formal_v8/multiblock_scaling_paper/c50_d32768_b1_dgg32_s2024_r001.json"
"c50_d32768_b1_dgg32_s2024_r002","50","32768","16384","1","dgg32","2024","2","PASS","0","0","0","0","1540.71","106971072","273596","1.674667","results/formal_v8/multiblock_scaling_paper/c50_d32768_b1_dgg32_s2024_r002.json"
"c50_d32768_b1_dgg32_s2024_r003","50","32768","16384","1","dgg32","2024","3","PASS","0","0","0","0","1513.57","106971072","273788","1.643244","results/formal_v8/multiblock_scaling_paper/c50_d32768_b1_dgg32_s2024_r003.json"
"c50_d32768_b1_dgg32_s2024_r004","50","32768","16384","1","dgg32","2024","4","PASS","0","0","0","0","1537.19","106971072","273792","1.674905","results/formal_v8/multiblock_scaling_paper/c50_d32768_b1_dgg32_s2024_r004.json"
"c50_d32768_b1_dgg32_s2024_r005","50","32768","16384","1","dgg32","2024","5","PASS","0","0","0","0","1493.76","106971072","273784","1.635477","results/formal_v8/multiblock_scaling_paper/c50_d32768_b1_dgg32_s2024_r005.json"
"c50_d32768_b1_dgg32_s2025_r001","50","32768","16384","1","dgg32","2025","1","PASS","0","0","0","0","1460.03","106971072","273792","1.594125","results/formal_v8/multiblock_scaling_paper/c50_d32768_b1_dgg32_s2025_r001.json"
"c50_d32768_b1_dgg32_s2025_r002","50","32768","16384","1","dgg32","2025","2","PASS","0","0","0","0","1542.53","106971072","273596","1.668119","results/formal_v8/multiblock_scaling_paper/c50_d32768_b1_dgg32_s2025_r002.json"
"c50_d32768_b1_dgg32_s2025_r003","50","32768","16384","1","dgg32","2025","3","PASS","0","0","0","0","1565.73","106971072","273788","1.715335","results/formal_v8/multiblock_scaling_paper/c50_d32768_b1_dgg32_s2025_r003.json"
"c50_d32768_b1_dgg32_s2025_r004","50","32768","16384","1","dgg32","2025","4","PASS","0","0","0","0","1457.39","106971072","273592","1.590268","results/formal_v8/multiblock_scaling_paper/c50_d32768_b1_dgg32_s2025_r004.json"
"c50_d32768_b1_dgg32_s2025_r005","50","32768","16384","1","dgg32","2025","5","PASS","0","0","0","0","1530.13","106971072","273788","1.666961","results/formal_v8/multiblock_scaling_paper/c50_d32768_b1_dgg32_s2025_r005.json"
"c50_d32768_b1_dgg32_s2026_r001","50","32768","16384","1","dgg32","2026","1","PASS","0","0","0","0","1550.01","106971072","273784","1.686208","results/formal_v8/multiblock_scaling_paper/c50_d32768_b1_dgg32_s2026_r001.json"
"c50_d32768_b1_dgg32_s2026_r002","50","32768","16384","1","dgg32","2026","2","PASS","0","0","0","0","1554.62","106971072","273780","1.703352","results/formal_v8/multiblock_scaling_paper/c50_d32768_b1_dgg32_s2026_r002.json"
"c50_d32768_b1_dgg32_s2026_r003","50","32768","16384","1","dgg32","2026","3","PASS","0","0","0","0","1459.89","106971072","273788","1.603164","results/formal_v8/multiblock_scaling_paper/c50_d32768_b1_dgg32_s2026_r003.json"
"c50_d32768_b1_dgg32_s2026_r004","50","32768","16384","1","dgg32","2026","4","PASS","0","0","0","0","1618.87","106971072","273788","1.735329","results/formal_v8/multiblock_scaling_paper/c50_d32768_b1_dgg32_s2026_r004.json"
"c50_d32768_b1_dgg32_s2026_r005","50","32768","16384","1","dgg32","2026","5","PASS","0","0","0","0","1562.25","106971072","273788","1.708656","results/formal_v8/multiblock_scaling_paper/c50_d32768_b1_dgg32_s2026_r005.json"
"c10_d32769_b2_dgg32_s2024_r001","10","32769","16384","2","dgg32","2024","1","PASS","0","0","0","0","607.211","46144384","63152","0.858305","results/formal_v8/multiblock_scaling_paper/c10_d32769_b2_dgg32_s2024_r001.json"
"c10_d32769_b2_dgg32_s2024_r002","10","32769","16384","2","dgg32","2024","2","PASS","0","0","0","0","667.428","46144384","63160","0.929091","results/formal_v8/multiblock_scaling_paper/c10_d32769_b2_dgg32_s2024_r002.json"
"c10_d32769_b2_dgg32_s2024_r003","10","32769","16384","2","dgg32","2024","3","PASS","0","0","0","0","651.795","46144384","63212","0.921897","results/formal_v8/multiblock_scaling_paper/c10_d32769_b2_dgg32_s2024_r003.json"
"c10_d32769_b2_dgg32_s2024_r004","10","32769","16384","2","dgg32","2024","4","PASS","0","0","0","0","622.006","46144384","63160","0.880223","results/formal_v8/multiblock_scaling_paper/c10_d32769_b2_dgg32_s2024_r004.json"
"c10_d32769_b2_dgg32_s2024_r005","10","32769","16384","2","dgg32","2024","5","PASS","0","0","0","0","680.8","46144384","63160","0.932121","results/formal_v8/multiblock_scaling_paper/c10_d32769_b2_dgg32_s2024_r005.json"
"c10_d32769_b2_dgg32_s2025_r001","10","32769","16384","2","dgg32","2025","1","PASS","0","0","0","0","654.78","46144384","63268","0.91729","results/formal_v8/multiblock_scaling_paper/c10_d32769_b2_dgg32_s2025_r001.json"
"c10_d32769_b2_dgg32_s2025_r002","10","32769","16384","2","dgg32","2025","2","PASS","0","0","0","0","627.844","46144384","63160","0.885882","results/formal_v8/multiblock_scaling_paper/c10_d32769_b2_dgg32_s2025_r002.json"
"c10_d32769_b2_dgg32_s2025_r003","10","32769","16384","2","dgg32","2025","3","PASS","0","0","0","0","650.921","46144384","63160","0.909683","results/formal_v8/multiblock_scaling_paper/c10_d32769_b2_dgg32_s2025_r003.json"
