"case_id","clients","dimension","noise","seed","repetition","status","encoded_plaintext_diff_linf","encoded_plaintext_mismatch_count","q_domain_diff_linf","q_domain_mismatch_count","total_ms","total_bytes","wrapper_elapsed_seconds","result_file"
"c20_d784_dgg32_s2025_r004","20","784","dgg32","2025","4","PASS","0","0","0","0","845.796","44046912","0.99537","results/formal_v8/scalability/retry1/c20_d784_dgg32_s2025_r004.json"
"c20_d784_dgg32_s2025_r005","20","784","dgg32","2025","5","PASS","0","0","0","0","838.302","44046912","0.987897","results/formal_v8/scalability/retry1/c20_d784_dgg32_s2025_r005.json"
"c20_d784_dgg32_s2026_r001","20","784","dgg32","2026","1","PASS","0","0","0","0","920.956","44046912","1.081369","results/formal_v8/scalability/retry1/c20_d784_dgg32_s2026_r001.json"
"c20_d784_dgg32_s2026_r002","20","784","dgg32","2026","2","PASS","0","0","0","0","874.962","44046912","1.025804","results/formal_v8/scalability/retry1/c20_d784_dgg32_s2026_r002.json"
"c20_d784_dgg32_s2026_r003","20","784","dgg32","2026","3","PASS","0","0","0","0","887.757","44046912","1.05079","results/formal_v8/scalability/retry1/c20_d784_dgg32_s2026_r003.json"
"c20_d784_dgg32_s2026_r004","20","784","dgg32","2026","4","PASS","0","0","0","0","871.845","44046912","1.041765","results/formal_v8/scalability/retry1/c20_d784_dgg32_s2026_r004.json"
"c20_d784_dgg32_s2026_r005","20","784","dgg32","2026","5","PASS","0","0","0","0","910.251","44046912","1.061098","results/formal_v8/scalability/retry1/c20_d784_dgg32_s2026_r005.json"
"c30_d784_dgg32_s2024_r001","30","784","dgg32","2024","1","PASS","0","0","0","0","1224","65021632","1.371462","results/formal_v8/scalability/retry1/c30_d784_dgg32_s2024_r001.json"
"c30_d784_dgg32_s2024_r002","30","784","dgg32","2024","2","PASS","0","0","0","0","1288.18","65021632","1.436042","results/formal_v8/scalability/retry1/c30_d784_dgg32_s2024_r002.json"
"c30_d784_dgg32_s2024_r003","30","784","dgg32","2024","3","PASS","0","0","0","0","1196.49","65021632","1.354702","results/formal_v8/scalability/retry1/c30_d784_dgg32_s2024_r003.json"
"c30_d784_dgg32_s2024_r004","30","784","dgg32","2024","4","PASS","0","0","0","0","1176.09","65021632","1.331028","results/formal_v8/scalability/retry1/c30_d784_dgg32_s2024_r004.json"
"c30_d784_dgg32_s2024_r005","30","784","dgg32","2024","5","PASS","0","0","0","0","1323.44","65021632","1.475354","results/formal_v8/scalability/retry1/c30_d784_dgg32_s2024_r005.json"
"c30_d784_dgg32_s2025_r001","30","784","dgg32","2025","1","PASS","0","0","0","0","1260.3","65021632","1.423504","results/formal_v8/scalability/retry1/c30_d784_dgg32_s2025_r001.json"
"c30_d784_dgg32_s2025_r002","30","784","dgg32","2025","2","PASS","0","0","0","0","1217.26","65021632","1.375143","results/formal_v8/scalability/retry1/c30_d784_dgg32_s2025_r002.json"
"c30_d784_dgg32_s2025_r003","30","784","dgg32","2025","3","PASS","0","0","0","0","1266.11","65021632","1.413209","results/formal_v8/scalability/retry1/c30_d784_dgg32_s2025_r003.json"
