"case_id","ablation","clients","dimension","seed","repetition","k","k0","apbr","status","encoded_plaintext_diff_linf","encoded_plaintext_mismatch_count","q_domain_diff_linf","q_domain_mismatch_count","total_ms","path_processing_ms","cs_recovery_ms","total_bytes","total_fragments_per_path","result_file"
"no_apbr_c30_d784_s2025_r004","no_apbr","30","784","2025","4","2","2","false","PASS","0","0","0","0","742.875","451.169","60.0635","65021632","62","results/formal_v8/ablations/no_apbr_c30_d784_s2025_r004.json"
"no_apbr_c30_d784_s2025_r005","no_apbr","30","784","2025","5","2","2","false","PASS","0","0","0","0","789.27","487.341","62.7193","65021632","62","results/formal_v8/ablations/no_apbr_c30_d784_s2025_r005.json"
"no_apbr_c30_d784_s2026_r001","no_apbr","30","784","2026","1","2","2","false","PASS","0","0","0","0","821.409","484.154","68.7387","65021632","62","results/formal_v8/ablations/no_apbr_c30_d784_s2026_r001.json"
"no_apbr_c30_d784_s2026_r002","no_apbr","30","784","2026","2","2","2","false","PASS","0","0","0","0","802.103","470.869","62.0828","65021632","62","results/formal_v8/ablations/no_apbr_c30_d784_s2026_r002.json"
"no_apbr_c30_d784_s2026_r003","no_apbr","30","784","2026","3","2","2","false","PASS","0","0","0","0","787.699","473.205","60.5064","65021632","62","results/formal_v8/ablations/no_apbr_c30_d784_s2026_r003.json"
"no_apbr_c30_d784_s2026_r004","no_apbr","30","784","2026","4","2","2","false","PASS","0","0","0","0","794.229","457.588","63.2959","65021632","62","results/formal_v8/ablations/no_apbr_c30_d784_s2026_r004.json"
"no_apbr_c30_d784_s2026_r005","no_apbr","30","784","2026","5","2","2","false","PASS","0","0","0","0","762.237","459.164","62.3271","65021632","62","results/formal_v8/ablations/no_apbr_c30_d784_s2026_r005.json"
"k1_c30_d784_s2024_r001","k1","30","784","2024","1","1","2","true","PASS","0","0","0","0","567.356","293.814","34.84","33559552","32","results/formal_v8/ablations/k1_c30_d784_s2024_r001.json"
"k1_c30_d784_s2024_r002","k1","30","784","2024","2","1","2","true","PASS","0","0","0","0","575.328","306.006","35.8595","33559552","32","results/formal_v8/ablations/k1_c30_d784_s2024_r002.json"
"k1_c30_d784_s2024_r003","k1","30","784","2024","3","1","2","true","PASS","0","0","0","0","587.155","308.806","33.151","33559552","32","results/formal_v8/ablations/k1_c30_d784_s2024_r003.json"
"k1_c30_d784_s2024_r004","k1","30","784","2024","4","1","2","true","PASS","0","0","0","0","573.661","296.738","33.0874","33559552","32","results/formal_v8/ablations/k1_c30_d784_s2024_r004.json"
"k1_c30_d784_s2024_r005","k1","30","784","2024","5","1","2","true","PASS","0","0","0","0","583.184","303.333","37.8726","33559552","32","results/formal_v8/ablations/k1_c30_d784_s2024_r005.json"
"k1_c30_d784_s2025_r001","k1","30","784","2025","1","1","2","true","PASS","0","0","0","0","585.842","303.324","37.9968","33559552","32","results/formal_v8/ablations/k1_c30_d784_s2025_r001.json"
"k1_c30_d784_s2025_r002","k1","30","784","2025","2","1","2","true","PASS","0","0","0","0","584.766","294.952","31.1443","33559552","32","results/formal_v8/ablations/k1_c30_d784_s2025_r002.json"
"k1_c30_d784_s2025_r003","k1","30","784","2025","3","1","2","true","PASS","0","0","0","0","567.644","300.584","33.1862","33559552","32","results/formal_v8/ablations/k1_c30_d784_s2025_r003.json"
"k1_c30_d784_s2025_r004","k1","30","784","2025","4","1","2","true","PASS","0","0","0","0","570.769","301.462","36.8755","33559552","32","results/formal_v8/ablations/k1_c30_d784_s2025_r004.json"
"k1_c30_d784_s2025_r005","k1","30","784","2025","5","1","2","true","PASS","0","0","0","0","615.461","319.009","38.3578","33559552","32","results/formal_v8/ablations/k1_c30_d784_s2025_r005.json"
"k1_c30_d784_s2026_r001","k1","30","784","2026","1","1","2","true","PASS","0","0","0","0","592.871","306.197","33.0246","33559552","32","results/formal_v8/ablations/k1_c30_d784_s2026_r001.json"
"k1_c30_d784_s2026_r002","k1","30","784","2026","2","1","2","true","PASS","0","0","0","0","571.836","297.617","35.246","33559552","32","results/formal_v8/ablations/k1_c30_d784_s2026_r002.json"
"k1_c30_d784_s2026_r003","k1","30","784","2026","3","1","2","true","PASS","0","0","0","0","567.513","297.01","33.7965","33559552","32","results/formal_v8/ablations/k1_c30_d784_s2026_r003.json"
"k1_c30_d784_s2026_r004","k1","30","784","2026","4","1","2","true","PASS","0","0","0","0","637.959","346.951","37.8326","33559552","32","results/formal_v8/ablations/k1_c30_d784_s2026_r004.json"
"k1_c30_d784_s2026_r005","k1","30","784","2026","5","1","2","true","PASS","0","0","0","0","584.761","294.697","35.0808","33559552","32","results/formal_v8/ablations/k1_c30_d784_s2026_r005.json"
