"case_id","variant","clients","dimension","seed","repetition","status","encoded_plaintext_diff_linf","encoded_plaintext_mismatch_count","q_domain_diff_linf","q_domain_mismatch_count","total_ms","client_upload_bytes","path_to_cs_bytes","total_bytes","legacy_total_wire_bytes","wrapper_elapsed_seconds","result_file"
"plain_aggregate_c30_d784_s2024_r005","plain_aggregate","30","784","2024","5","PASS","0","0","0","0","0.213479","0","0","0","0","0.12252","results/formal_v8/controlled_baselines/plain_aggregate_c30_d784_s2024_r005.json"
"plain_aggregate_c30_d784_s2025_r001","plain_aggregate","30","784","2025","1","PASS","0","0","0","0","0.182846","0","0","0","0","0.124379","results/formal_v8/controlled_baselines/plain_aggregate_c30_d784_s2025_r001.json"
"plain_aggregate_c30_d784_s2025_r002","plain_aggregate","30","784","2025","2","PASS","0","0","0","0","0.198343","0","0","0","0","0.116959","results/formal_v8/controlled_baselines/plain_aggregate_c30_d784_s2025_r002.json"
"plain_aggregate_c30_d784_s2025_r003","plain_aggregate","30","784","2025","3","PASS","0","0","0","0","0.178945","0","0","0","0","0.130273","results/formal_v8/controlled_baselines/plain_aggregate_c30_d784_s2025_r003.json"
"plain_aggregate_c30_d784_s2025_r004","plain_aggregate","30","784","2025","4","PASS","0","0","0","0","0.18779","0","0","0","0","0.128855","results/formal_v8/controlled_baselines/plain_aggregate_c30_d784_s2025_r004.json"
"plain_aggregate_c30_d784_s2025_r005","plain_aggregate","30","784","2025","5","PASS","0","0","0","0","0.17568","0","0","0","0","0.128126","results/formal_v8/controlled_baselines/plain_aggregate_c30_d784_s2025_r005.json"
"plain_aggregate_c30_d784_s2026_r001","plain_aggregate","30","784","2026","1","PASS","0","0","0","0","0.19579","0","0","0","0","0.129513","results/formal_v8/controlled_baselines/plain_aggregate_c30_d784_s2026_r001.json"
"plain_aggregate_c30_d784_s2026_r002","plain_aggregate","30","784","2026","2","PASS","0","0","0","0","0.162399","0","0","0","0","0.12176","results/formal_v8/controlled_baselines/plain_aggregate_c30_d784_s2026_r002.json"
"plain_aggregate_c30_d784_s2026_r003","plain_aggregate","30","784","2026","3","PASS","0","0","0","0","0.173032","0","0","0","0","0.130075","results/formal_v8/controlled_baselines/plain_aggregate_c30_d784_s2026_r003.json"
"plain_aggregate_c30_d784_s2026_r004","plain_aggregate","30","784","2026","4","PASS","0","0","0","0","0.173076","0","0","0","0","0.145016","results/formal_v8/controlled_baselines/plain_aggregate_c30_d784_s2026_r004.json"
"plain_aggregate_c30_d784_s2026_r005","plain_aggregate","30","784","2026","5","PASS","0","0","0","0","0.168813","0","0","0","0","0.116174","results/formal_v8/controlled_baselines/plain_aggregate_c30_d784_s2026_r005.json"
"plain_aggregate_c40_d784_s2024_r001","plain_aggregate","40","784","2024","1","PASS","0","0","0","0","0.211558","0","0","0","0","0.117129","results/formal_v8/controlled_baselines/plain_aggregate_c40_d784_s2024_r001.json"
"plain_aggregate_c40_d784_s2024_r002","plain_aggregate","40","784","2024","2","PASS","0","0","0","0","0.196934","0","0","0","0","0.116147","results/formal_v8/controlled_baselines/plain_aggregate_c40_d784_s2024_r002.json"
"plain_aggregate_c40_d784_s2024_r003","plain_aggregate","40","784","2024","3","PASS","0","0","0","0","0.19669","0","0","0","0","0.112032","results/formal_v8/controlled_baselines/plain_aggregate_c40_d784_s2024_r003.json"
"plain_aggregate_c40_d784_s2024_r004","plain_aggregate","40","784","2024","4","PASS","0","0","0","0","0.221423","0","0","0","0","0.131143","results/formal_v8/controlled_baselines/plain_aggregate_c40_d784_s2024_r004.json"
"plain_aggregate_c40_d784_s2024_r005","plain_aggregate","40","784","2024","5","PASS","0","0","0","0","0.182738","0","0","0","0","0.110068","results/formal_v8/controlled_baselines/plain_aggregate_c40_d784_s2024_r005.json"
"plain_aggregate_c40_d784_s2025_r001","plain_aggregate","40","784","2025","1","PASS","0","0","0","0","0.206547","0","0","0","0","0.126725","results/formal_v8/controlled_baselines/plain_aggregate_c40_d784_s2025_r001.json"
"plain_aggregate_c40_d784_s2025_r002","plain_aggregate","40","784","2025","2","PASS","0","0","0","0","0.217327","0","0","0","0","0.111274","results/formal_v8/controlled_baselines/plain_aggregate_c40_d784_s2025_r002.json"
"plain_aggregate_c40_d784_s2025_r003","plain_aggregate","40","784","2025","3","PASS","0","0","0","0","0.195836","0","0","0","0","0.127112","results/formal_v8/controlled_baselines/plain_aggregate_c40_d784_s2025_r003.json"
"plain_aggregate_c40_d784_s2025_r004","plain_aggregate","40","784","2025","4","PASS","0","0","0","0","0.186297","0","0","0","0","0.117988","results/formal_v8/controlled_baselines/plain_aggregate_c40_d784_s2025_r004.json"
"plain_aggregate_c40_d784_s2025_r005","plain_aggregate","40","784","2025","5","PASS","0","0","0","0","0.209475","0","0","0","0","0.12141","results/formal_v8/controlled_baselines/plain_aggregate_c40_d784_s2025_r005.json"
